	0	5.5	11	16.5	22	27.5	33	38.5	44	49.5	55	60.5	66	71.5	77	82.5	88	93.5	99	104.5	110	115.5	121	126.5	132	137.5	143	148.5	154	159.5	165	170.5	176	181.5	187	192.5	198	203.5	209	214.5	220	225.5	231	236.5	242	247.5	253	258.5	264	269.5	275	280.5	286	291.5	297	302.5	308	313.5	319	324.5	330	335.5	341	346.5	352	357.5	363	368.5	374	379.5	385	390.5	396	401.5	407	412.5	418	423.5	429	434.5	440	445.5	451	456.5	462	467.5	473	478.5	484	489.5	495	500.5	506	511.5	517	522.5	528	533.5	539	544.5	550
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.6776	78.3856	72.3549	66.7881	61.6186	56.8526	52.4343	48.4158	44.6678	41.1951	38.0346	35.0756	32.3624	29.8761	27.6332	25.7109	23.7828	21.8944	20.3383	18.8233	17.4786	16.1847	15.0532	13.9619	13.0415	12.0912	11.2566	10.4777	9.73652	9.06254	8.44994	7.91094	7.41508	6.87756	6.47837	6.07116	5.66133	5.29538	4.97128	4.65804	4.33178	4.11007	3.82185	3.65768	3.39854	3.19415	3.00697	2.81884	2.67979	2.51329	2.34998	2.22934	2.09705	1.99085	1.88308	1.76792	1.69562	1.55909	1.49402	1.39569	1.34846	1.24791	1.20765	1.11629	1.0908	1.03155	0.965286	0.930344	0.868611	0.824426	0.785518	0.757429	0.719106	0.660294	0.647056	0.610882	0.581947	0.552736	0.522109	0.486154	0.468304	0.457586	0.445596	0.408852	0.382661	0.371204
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.4089	80.978	73.9709	67.5002	61.4404	55.8522	50.9334	46.2534	42.0578	38.1858	34.7339	31.5389	28.7095	26.0886	23.7775	21.6295	19.7827	18.0587	16.3892	14.9704	13.731	12.475	11.4346	10.4796	9.58182	8.77409	8.03421	7.41359	6.77272	6.20884	5.71468	5.21746	4.81917	4.42091	4.10987	3.7944	3.51803	3.19945	3.00367	2.76752	2.55335	2.31836	2.18986	2.02259	1.87414	1.75029	1.60862	1.51726	1.39821	1.28495	1.18412	1.12282	1.05645	0.972811	0.915577	0.834322	0.780798	0.712965	0.673051	0.647236	0.598692	0.55468	0.512693	0.48603	0.459826	0.435774	0.408321	0.377563	0.3437	0.347098	0.307387	0.283697	0.278777	0.275538	0.239269	0.228147	0.218142	0.197088	0.19648	0.174259	0.167022	0.165252	0.152342	0.135846	0.13332	0.12408
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.3569	83.2978	74.8145	66.8627	59.6991	53.2242	47.3733	42.1135	37.3433	33.2415	29.5084	26.1315	23.1509	20.5375	18.2187	16.197	14.3949	12.8264	11.3174	10.1498	8.99261	7.98028	7.12953	6.3623	5.69122	5.12017	4.55592	4.0856	3.63028	3.24803	2.96688	2.60474	2.3799	2.12657	1.9216	1.74434	1.558	1.38834	1.24881	1.14409	1.02654	0.929259	0.841236	0.755223	0.679751	0.638381	0.564779	0.522316	0.469845	0.429413	0.385901	0.34957	0.307319	0.290121	0.271677	0.242483	0.223732	0.205016	0.189279	0.179695	0.151065	0.140084	0.135733	0.116831	0.110839	0.0999215	0.0954261	0.0859816	0.0727263	0.0779687	0.0651	0.0634093	0.0629934	0.0498561	0.0458487	0.0429053	0.0404252	0.0376278	0.0357323	0.0309317	0.0305723	0.030602	0.025045	0.0238355	0.0202716	0.0217681
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.5981	84.5248	73.4673	63.5809	54.5792	46.7225	39.9334	34.032	28.8875	24.6134	20.8095	17.5914	14.8681	12.6047	10.6352	9.03568	7.64556	6.49839	5.40464	4.61371	3.9413	3.31889	2.83258	2.40118	2.05698	1.72024	1.48378	1.24796	1.07006	0.904658	0.780743	0.671995	0.572365	0.493283	0.416602	0.370255	0.312266	0.270862	0.225802	0.189171	0.17909	0.149253	0.128383	0.111108	0.10026	0.0816157	0.069628	0.0610695	0.0563078	0.0456124	0.0428412	0.0370622	0.0329999	0.0272453	0.022358	0.0233565	0.019157	0.0127894	0.0129872	0.0120316	0.0109992	0.00847274	0.0098506	0.00673591	0.00741273	0.00631881	0.00438487	0.00468482	0.00421443	0.00432847	0.00357146	0.0023458	0.00231114	0.00111748	0.00145617	0.00101409	0.0014912	0.00102611	0.00112568	0.00145154	0.000757487	0.00067859	0.000559292	0.000723558	0.000455315	0.000675591
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.5926	81.2983	65.2702	51.5125	40.0588	30.9473	23.6442	17.8822	13.3922	10.0396	7.52759	5.5113	4.11422	3.03549	2.23214	1.61231	1.22726	0.911507	0.648358	0.472219	0.36351	0.264926	0.178357	0.136541	0.110397	0.0782216	0.0572655	0.0424353	0.0325024	0.0220312	0.0158529	0.0125556	0.00985338	0.00588204	0.00565671	0.003024	0.00389573	0.00267996	0.00213093	0.000825157	0.00055925	0.00046344	0.000795945	0	0.000227568	0.000119842	0.000356706	0.000349238	0.000222538	0.000112818	0.00011162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
