0.075	-0.338284
0.15	-0.502843
0.225	-0.373301
0.3	-0.223845
0.375	-0.153743
0.45	-0.120147
0.525	-0.0988534
0.6	-0.0870904
0.675	-0.0752691
0.75	-0.0649217
0.825	-0.059016
0.9	-0.0526986
0.975	-0.0479924
1.05	-0.0430548
1.125	-0.039574
1.2	-0.0368379
1.275	-0.0341337
1.35	-0.0323402
1.425	-0.0310041
1.5	-0.0301298
1.575	-0.0301966
1.65	-0.0288651
1.725	-0.0287196
1.8	-0.0291556
1.875	-0.0281989
1.95	-0.0276909
2.025	-0.0280492
2.1	-0.0271805
2.175	-0.0268668
2.25	-0.0263041
2.325	-0.0252343
2.4	-0.0247348
2.475	-0.0233277
2.55	-0.0224647
2.625	-0.0217155
2.7	-0.0204529
2.775	-0.0191076
2.85	-0.0181946
2.925	-0.016966
3	-0.015778
3.075	-0.0147456
3.15	-0.0137235
3.225	-0.0127052
3.3	-0.0118404
3.375	-0.0110248
3.45	-0.0100992
3.525	-0.00928854
3.6	-0.00850629
3.675	-0.00791473
3.75	-0.0072954
3.825	-0.00661159
3.9	-0.00605964
3.975	-0.00560629
4.05	-0.00513281
4.125	-0.00471348
4.2	-0.00427832
4.275	-0.00400358
4.35	-0.00354363
4.425	-0.00319389
4.5	-0.00295867
4.575	-0.0026938
4.65	-0.00250906
4.725	-0.00223715
4.8	-0.00206607
4.875	-0.00185784
4.95	-0.00166488
5.025	-0.00148312
5.1	-0.00134695
5.175	-0.00128243
5.25	-0.00107854
5.325	-0.00103943
5.4	-0.000870449
5.475	-0.000802003
5.55	-0.000756303
5.625	-0.000697225
5.7	-0.000624855
5.775	-0.000537833
5.85	-0.000488133
5.925	-0.000408824
6	-0.000394672
6.075	-0.000363187
6.15	-0.000303067
6.225	-0.000305215
6.3	-0.000236281
6.375	-0.00023097
6.45	-0.000180684
6.525	-0.000169674
6.6	-0.000139893
6.675	-0.000128191
6.75	-9.1328e-05
6.825	-0.000106939
6.9	-8.74836e-05
6.975	-7.38003e-05
7.05	-8.03402e-05
7.125	-6.64328e-05
7.2	-5.31842e-05
7.275	-4.14243e-05
7.35	-4.14612e-05
7.425	-3.25471e-05
7.5	-3.4281e-05
