	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700	710	720	730	740	750	760	770	780	790	800	810	820	830	840	850	860	870	880	890	900	910	920	930	940	950	960	970	980	990	1000
70	0.754355	2.28731	3.06682	4.367	5.37827	6.56547	7.81608	8.50277	9.56961	10.6054	11.428	12.2112	13.4364	13.9737	14.9619	15.3504	17.5137	18.224	19.6167	21.476	21.7056	23.9948	25.2943	26.8115	27.8002	29.5	31.2434	33.9171	35.4159	37.2638	38.6499	41.9189	42.7522	44.812	47.4391	48.6347	51.4582	52.5815	55.4618	56.3439	58.9988	61.4443	64.3871	65.7337	67.7997	69.8614	71.5252	72.5924	74.119	76.3486	78.0311	80.5744	80.4783	81.9881	84.7001	85.9985	87.2756	88.6144	89.7708	90.2659	91.3069	92.6478	93.8992	95.1167	95.53	96.6268	96.8482	98.3441	99.2593	100.114	99.9807	101.062	101.225	101.744	102.344	102.79	103.005	103.634	104.059	104.235	104.578	104.918	104.88	105.036	105.517	105.535	106.072	105.744	105.983	106.246	106.039	106.017	106.68	106.36	106.536	106.639	106.88	106.892	106.77	106.774	106.621
77	1.12545	2.33379	3.69562	4.68473	6.07047	7.17201	7.97885	9.12591	9.8998	11.0377	11.8581	12.6681	13.5899	14.4128	15.9503	16.6269	17.9565	18.7933	20.5209	22.1224	23.456	25.4514	25.7976	27.3664	29.0945	30.6459	32.7414	33.7361	36.2655	38.3717	40.2318	41.7807	43.5723	45.543	47.4449	49.8146	52.1255	54.7273	56.2141	58.0318	60.0808	61.2577	64.0793	66.3326	67.6958	69.7649	72.3982	72.782	74.617	77.3725	78.1236	79.7905	81.4234	82.8181	83.9921	86.3148	86.4639	88.1949	88.8325	91.1881	92.022	93.1874	93.8272	94.6771	96.0481	97.2953	97.6021	98.3446	99.1277	99.6332	100.285	100.743	101.81	101.999	102.156	102.759	103.33	103.862	103.885	103.895	104.171	104.503	104.89	105.62	105.606	105.572	105.656	106.085	105.539	106.189	106.284	106.657	106.471	106.844	106.022	106.7	107.002	106.459	106.542	106.995	106.889
84	1.8434	2.81906	4.04445	5.16774	6.48397	7.75743	8.55326	9.78237	10.5707	11.774	12.6883	13.7585	14.6973	15.4914	16.6314	17.7909	19.3246	20.0303	21.4177	22.7771	23.313	25.4934	27.4887	29.5043	31.2972	31.4984	33.7958	35.0971	37.0846	40.0087	41.4994	42.5088	45.1142	46.1729	49.2949	50.1452	53.5461	55.4987	56.0154	59.1749	60.8528	62.6653	63.8631	66.2527	68.3318	70.8332	72.2045	73.9568	75.1991	76.9471	79.3398	81.4603	81.8494	84.1756	85.5638	86.7052	88.0807	88.5078	89.8287	91.7963	92.9033	93.4357	94.0096	95.114	96.3217	96.5538	98.0262	98.664	99.002	99.7408	100.916	101.493	101.486	101.804	102.376	103.246	103.301	103.828	103.88	104.237	104.365	104.34	105.588	105.46	105.533	105.395	105.878	106.303	105.58	106.074	106.32	106.326	106.561	106.745	106.526	106.647	106.72	106.793	106.718	106.769	106.62
91	2.35535	3.40897	4.93886	6.07419	7.40149	8.68189	9.20316	10.5506	11.591	12.634	13.2691	14.2873	15.5261	16.1488	17.5224	18.7055	19.9782	21.1503	22.6846	23.8078	25.3374	26.4405	28.2046	29.4521	31.5481	33.3789	34.0205	36.2228	38.0013	39.5285	42.0621	44.2023	44.471	47.8085	49.2744	50.9678	53.1178	55.2389	57.3406	59.4463	61.8439	63.406	66.0794	67.7216	68.9643	70.6299	72.4352	74.3322	76.5633	77.988	79.9829	81.3176	82.3668	84.5907	84.7777	86.4152	88.1517	89.499	90.5102	92.0348	93.4131	93.6547	95.3488	96.0581	96.2866	97.667	98.4819	99.1582	99.0877	100.289	100.279	101.873	101.552	102.209	102.215	103.362	103.342	103.989	104.212	104.332	104.596	104.816	105.089	105.157	105.752	105.439	105.633	106.225	106.337	106.621	106.272	106.457	106.343	106.559	106.73	106.465	106.535	106.869	107.059	106.993	106.824
98	3.37693	4.69604	5.65682	6.72457	8.12887	9.14299	10.3695	11.3825	12.3204	13.1045	14.4309	15.8467	16.1752	17.6885	18.56	19.7335	20.6253	22.2592	23.4379	25.0486	25.7953	27.7763	29.0971	30.4283	32.1307	33.7869	35.5479	37.2562	39.9702	40.9702	42.3081	44.9531	46.6374	48.0371	49.8374	52.7441	54.3276	55.9856	58.5638	60.274	62.5565	63.8799	66.2668	66.9382	70.4765	72.4015	72.7536	74.6563	76.3586	77.9124	79.856	81.3005	83.1734	83.9614	85.5775	87.7623	87.727	89.9694	91.2903	91.7536	93.1592	93.2896	94.8934	96.4065	96.9509	97.0435	98.4742	98.7325	99.4402	100.325	100.956	101.374	101.531	102.02	102.514	102.634	103.626	103.516	103.838	104.541	104.863	104.861	105.113	105.616	105.569	106.091	105.722	105.807	106.296	106.238	106.469	106.599	106.598	106.733	106.613	106.5	106.891	106.644	106.879	106.819	106.635
105	4.31841	5.79496	6.87686	7.86544	9.27915	10.3934	11.5655	12.0732	13.3177	14.2806	15.5453	16.1033	17.7916	18.6021	19.7694	20.9805	22.2295	23.0944	24.6142	25.6273	27.3196	28.662	29.7554	31.9047	33.0159	34.8155	37.0903	38.2688	39.8845	42.1975	43.5594	45.1045	47.3816	49.5064	51.2596	54.0074	55.0807	57.0732	58.6	61.4098	62.8601	64.1521	66.1823	67.7564	69.9808	72.5022	73.743	75.1598	78.0525	79.3689	80.794	81.9175	83.2531	85.6966	86.2284	87.3616	88.7258	89.9172	92.1574	92.5949	93.5593	94.9429	95.4683	96.3388	96.8535	97.1288	98.4832	98.6929	99.8234	100.429	101.118	101.501	102.797	101.828	102.704	102.942	103.706	104.347	104.412	104.505	104.795	104.983	105.207	105.104	105.815	105.681	105.645	105.93	106.128	105.96	106.318	106.567	106.596	106.389	106.808	106.633	106.685	106.864	107.148	106.778	107.016
112	5.94539	7.25516	8.33416	8.98451	10.3698	11.6517	12.0713	13.6529	14.8118	15.9213	16.6944	17.53	19.1279	19.4027	20.383	22.066	23.6322	24.5605	25.8112	26.7735	28.2153	30.129	31.3666	33.0709	34.959	36.2613	38.1716	39.5922	41.5024	42.8261	44.6607	46.9511	48.6944	50.5833	52.4353	54.2582	56.0309	57.2125	59.1138	62.2095	64.3904	65.8235	67.202	69.8426	71.129	72.5841	74.7004	76.6109	77.3449	79.9333	81.1203	82.9718	83.0711	85.754	86.3687	87.6375	88.9322	89.6433	91.6195	92.3932	93.4642	94.2156	96.0137	96.134	97.1344	97.3789	98.8535	99.6762	100.238	100.599	100.606	101.503	101.924	102.573	102.934	103.426	104.012	104.333	103.779	104.506	105.053	104.745	105.376	105.487	105.94	106.161	106.065	106.097	106.356	106.219	106.482	106.468	106.439	106.549	106.795	106.61	106.815	106.624	106.921	106.968	106.977
119	7.90824	8.69934	10.0937	10.791	12.1441	12.9526	13.7387	14.8115	16.6016	17.2702	18.4024	19.3664	20.3811	21.5873	22.528	23.3634	25.5746	25.6283	27.153	28.0869	29.8534	30.8942	33.0425	33.8096	35.3752	37.4212	39.2632	40.0838	42.0222	44.0344	45.5652	47.6766	49.6513	51.6395	53.7348	54.7607	57.0423	59.1692	60.8611	62.9857	64.9353	66.6853	68.1049	69.3241	71.6851	72.3864	74.429	76.469	78.7674	79.919	81.0183	83.9673	84.481	85.3365	86.9912	88.628	88.5134	90.4125	91.9197	92.3103	93.5184	94.7572	95.2027	96.0276	98.0935	97.9494	98.8201	99.6818	100.224	100.464	101.31	101.873	102.037	102.665	102.958	103.694	104.094	103.624	104.553	104.741	104.771	104.974	105.412	105.637	105.754	105.852	106.105	106.35	106.411	106.45	106.447	106.439	106.664	106.677	106.727	106.797	106.877	106.9	106.86	106.954	106.963
126	9.04732	10.146	11.4942	12.2841	13.0537	14.1239	15.5811	16.8062	17.6726	18.6707	19.691	20.8088	21.9303	22.8529	23.6177	24.777	26.6316	27.7356	28.1849	29.8608	30.6353	32.2201	33.8013	35.433	36.9487	37.8707	39.8723	42.6515	43.7941	45.1982	46.8706	48.4523	50.8422	52.8186	54.7426	55.5445	58.149	59.7738	62.322	63.4762	64.2147	67.2249	68.2487	70.1146	71.7937	75.1681	75.5627	77.3824	79.4658	79.5586	81.7133	83.6013	84.6696	86.1638	87.8018	88.2461	89.1418	91.2558	92.5635	93.6067	93.8955	95.0078	95.8434	96.1894	97.8152	98.4601	98.5736	99.7999	100.07	100.603	101.513	101.959	102.35	102.655	103.317	103.586	104.037	103.819	104.175	104.585	105.156	105.345	105.748	105.858	106.106	105.909	106.113	106.203	106.333	106.145	106.458	106.582	106.625	106.976	106.697	106.873	106.736	106.846	106.986	106.966	106.9
133	11.4532	12.0706	13.7335	14.4302	15.839	15.8775	17.5104	18.9545	20.1999	21.0802	21.7615	22.7293	23.6673	24.5004	26.0215	26.7368	28.2502	28.9059	30.7447	30.7764	32.7575	34.1638	35.9032	37.0644	38.6811	40.6928	41.9907	42.6217	45.8484	47.1083	49.1489	51.0378	51.3103	53.9411	55.8104	57.3834	58.8483	60.9327	62.9872	64.8665	66.832	68.4082	69.6364	72.3564	72.9912	75.053	76.302	78.4705	79.5189	81.1025	82.9879	83.9717	85.6392	87.1514	88.3818	88.9913	90.8364	91.6371	92.6791	93.1644	94.2411	95.5779	96.443	97.2992	97.9434	98.8681	99.078	99.3544	100.221	100.679	102.12	102.154	102.192	102.545	103.02	103.953	104.218	104.582	104.606	104.531	105.244	105.735	105.631	105.646	105.934	106.201	106.015	106.042	106.306	106.467	106.493	106.751	106.737	106.681	106.871	106.668	106.95	106.812	106.803	107.185	106.982
